Tamb [K],Tsuc [K],Pev [kPa],Tdis [K],Pcond [kPa],Tinj[K],Pinj[kPa],m_ref [kg/s],m_inj [kg/s],ratio_m[-],Q [W],Power [W],eta_is[-],f_q
308.1,283.2,445.4,366,2221,298.2,859.1,0.06426,0.01814,0.282290694,246.86505,4815,0.6467,0.05127
308.4,286.2,488.1,363.5,2221,296.2,813.6,0.07031,0.0189,0.268809558,286.2099,4870,0.6657,0.05877
308.1,291.8,591.6,360.4,2222,301,935.6,0.08618,0.01812,0.2102576,311.38672,5003,0.6667,0.06224
308.3,283.3,444,351.2,1690,289.8,661.9,0.06577,0.0121,0.183974456,178.13476,3812,0.6722,0.04673
308.5,288.9,538.5,348.5,1686,294.8,775.7,0.08013,0.01134,0.14152003,192.32455,3929,0.6562,0.04895
308.3,275.2,329.6,350.8,1460,286,584.7,0.04838,0.00983,0.203183134,126.93641,3239,0.6474,0.03919
308.2,289,536.4,343.3,1459,296.9,830.9,0.08013,0.00756,0.094346687,143.43597,3501,0.6203,0.04097
308.3,289.2,539.2,355.6,1934,300.2,915.6,0.07938,0.01361,0.171453767,211.15377,4369,0.6585,0.04833
308.3,280.3,403.3,360.7,1938,293.5,753.6,0.05897,0.01436,0.243513651,193.85928,4218,0.6508,0.04596
308.3,277.9,364.7,363.5,1938,291.7,703.9,0.05292,0.01436,0.271352986,203.47551,4179,0.6394,0.04869
308.2,292,593.6,368,2518,306.4,1095,0.08543,0.02117,0.247805221,325.94804,5588,0.6494,0.05833
308.2,286.4,496,367.3,2219,316.8,806.6,0.07202,0.00909,0.12621494,232.5724,4580,0.6682,0.05078
308.1,283.5,449.5,370.3,2217,317,766.3,0.0648,0.01034,0.159567901,233.98949,4571,0.6569,0.05119
308.1,291.7,596.5,362.6,2214,316.2,916.3,0.08728,0.00804,0.092117324,232.8768,4680,0.6722,0.04976
307.8,274.1,329.9,380.5,2216,318,662.1,0.0466,0.01262,0.270815451,264.19728,4484,0.6156,0.05892
308,275,328.4,354,1455,301.1,552.9,0.048,0.00707,0.147291667,114.1748,3154,0.6481,0.0362
307.9,277.7,366.9,350.8,1457,300.9,600.7,0.05397,0.00696,0.128960534,108.53678,3214,0.6512,0.03377
307.9,280.7,402.4,348.9,1450,300.6,626.2,0.05936,0.00557,0.093834232,105.19102,3209,0.6535,0.03278
307.9,283.2,445.5,346.5,1457,300.4,681.2,0.06608,0.00543,0.082173123,107.94454,3278,0.6496,0.03293
307.5,285.4,492.3,344.5,1461,300.3,739.9,0.07331,0.00521,0.071068067,106.35716,3353,0.6379,0.03172
307.5,288.2,538.5,342.8,1445,300,798.2,0.08045,0.00496,0.061653201,112.09482,3403,0.6201,0.03294
307.4,286.2,494.1,359.4,1940,311.2,766.5,0.07229,0.00685,0.094757228,174.55205,4085,0.6698,0.04273
308.3,283.7,445.8,362.5,1940,311.6,708.2,0.06471,0.00714,0.110338433,172.95152,4024,0.6654,0.04298
308.4,280.5,404.8,365.2,1949,312.1,698,0.05861,0.0097,0.165500768,171.89172,4081,0.6559,0.04212
308,277.2,362.5,367.7,1931,312.4,603.6,0.05238,0.0073,0.13936617,174.17928,3881,0.6509,0.04488
308.5,275.1,327,372.2,1937,312.4,601.1,0.0467,0.00976,0.208993576,192.60426,3946,0.6347,0.04881
308.4,291.9,590.2,371.9,2530,322.4,892.9,0.08497,0.00659,0.077556785,251.33955,5093,0.6676,0.04935
308.3,288.6,538.2,374.1,2530,322.5,857.1,0.0772,0.00858,0.111139896,251.8906,5099,0.6596,0.0494
308.2,288.9,542.3,349.7,1683,305.3,825.4,0.08051,0.00674,0.083716309,154.57034,3782,0.6546,0.04087
307.9,286.2,490.2,351.6,1678,305.3,765.8,0.07244,0.00733,0.101187189,147.06944,3712,0.6623,0.03962
308.2,283.6,446.6,353.8,1682,305.6,715.9,0.06571,0.00774,0.117790291,145.22476,3671,0.6641,0.03956
307.4,289.5,543.5,357.7,1939,311,826.1,0.07964,0.0066,0.082872928,181.3113,4149,0.6694,0.0437
308.2,288.9,537.5,342.5,1473,291.2,837.3,0.08003,0.00887,0.110833437,97.20045,3541,0.6187,0.02745
308.7,275.2,327.5,348.3,1434,279.8,581.6,0.04822,0.01023,0.212152634,92.30724,3204,0.645,0.02881
308.2,283.6,443.9,350.6,1698,288.6,771,0.06536,0.01289,0.197215422,111.5296,3830,0.6553,0.02912
308.2,289,533.5,348.9,1717,293,881.6,0.07877,0.01258,0.159705472,117.0793,3985,0.6454,0.02938
308.2,289.1,538.2,353.9,1948,294.9,932.7,0.07903,0.01585,0.200556751,184.51994,4426,0.6549,0.04169
308.2,281.1,404.4,359,1945,288.4,766.7,0.0587,0.01576,0.268483816,164.11924,4243,0.6469,0.03868
308.3,277.9,365.2,360.7,1944,286.3,717.3,0.05287,0.01577,0.298278797,169.596,4200,0.6356,0.04038
308.2,291.8,591,365.2,2544,301.6,1133,0.08513,0.02487,0.292141431,373.2792,5712,0.6418,0.06535
308.3,283.4,444.2,362.6,2174,292.3,860.4,0.06395,0.01882,0.294292416,243.9204,4740,0.6433,0.05146
308.3,286.3,489.7,360.8,2190,294.5,921.6,0.07076,0.0193,0.272752968,238.93526,4826,0.6497,0.04951
308.2,291.8,591.8,359.1,2221,299.1,1048,0.08609,0.01941,0.225461726,336.28966,5026,0.6535,0.06691
